nome,genero,data_nascimento,salario_bruto,quant_viagem,presença_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab
ALINE PARANHOS VARONIL GURGEL,F,25/11/1980,"R$
                                                            33.763,00",0,78 dias,3 dias,11 dias,16 reuniões,27 reuniões,7 reuniões,"R$ 425.828,00","R$ 42.916,79","R$ 55.902,66","R$ 41.953,93","R$ 40.253,23","R$ 74.755,05","R$ 10.460,16","R$ 40.552,36","R$ 44.238,07","R$ 50.064,19","R$ 24.731,56",,,"111.429,18","111.160,99","111.429,20","111.429,20","111.429,20","111.429,20","111.429,20","111.429,20","109.688,29","108.621,49",,
CAROLINE RODRIGUES DE TONI,F,01/09/1986,"R$
                                                            33.763,00",0,91 dias,1 dias,0 dias,45 reuniões,11 reuniões,1 reuniões,"R$ 108.667,23","R$ 1.577,63","R$ 10.066,51","R$ 14.101,09","R$ 11.285,98","R$ 24.174,38","R$ 15.473,46","R$ 14.468,42","R$ 7.103,83","R$ 3.096,89","R$ 5.223,46","R$ 2.095,58",,"84.266,39","86.627,52","88.148,33","92.593,08","96.367,63","96.367,63","93.146,11","92.800,95","92.800,95","87.409,42",,
ADRIANA MIGUEL VENTURA,F,06/03/1969,"R$
                                                            33.763,00",0,92 dias,0 dias,0 dias,75 reuniões,0 reuniões,0 reuniões,"R$ 32.744,36","R$ 91,69","R$ 11.201,41","R$ 6,17","R$ 12.078,93","R$ 2.012,14","R$ 3.326,52","R$ 2.525,67","R$ 464,61","R$ 481,48","R$ 555,74",,,"46.239,34","47.876,22","45.155,54","47.484,47","50.501,69","47.810,20","53.606,39","43.951,57","36.862,01","38.831,64",,
ÁUREA CAROLINA DE FREITAS E SILVA,F,20/11/1983,"R$
                                                            33.763,00",0,75 dias,0 dias,17 dias,22 reuniões,5 reuniões,5 reuniões,"R$ 302.788,06","R$ 15.477,79","R$ 17.211,99","R$ 36.192,89","R$ 50.919,99","R$ 47.628,80","R$ 36.660,42","R$ 25.545,07","R$ 22.852,05","R$ 27.143,68","R$ 23.155,38",,,"110.482,87","110.320,03","111.502,08","111.502,08","111.502,08","111.499,25","111.417,08","111.417,08","111.417,08","105.478,47",,
BRUNA DIAS FURLAN VICENTE,F,28/04/1983,"R$
                                                            33.763,00",0,39 dias,4 dias,0 dias,0 reuniões,0 reuniões,0 reuniões,"R$ 77.114,78","R$ 12.812,15","R$ 15.234,17","R$ 17.325,26","R$ 17.939,40",,,,"R$ 283,61","R$ 5.769,80","R$ 6.302,20","R$ 1.448,19",,"102.008,81","103.337,22","104.665,63","85.126,66","89.553,78","105.191,41","111.416,96","104.020,17","87.826,95","93.579,66",,
ALESSANDRA SILVA RIBEIRO,F,04/07/1974,"R$
                                                            33.763,00",0,82 dias,4 dias,6 dias,54 reuniões,10 reuniões,10 reuniões,"R$ 262.368,78","R$ 21.847,22","R$ 26.068,76","R$ 60.514,25","R$ 38.257,92","R$ 39.369,73","R$ 21.249,25","R$ 15.093,79","R$ 19.228,94","R$ 15.225,62","R$ 5.513,30",,,"73.391,76","71.163,83","70.424,23","71.271,43","75.507,41","78.795,10","74.373,30","79.377,41","79.377,41","83.691,96",,
DULCE FERREIRA PAGANI MIRANDA,F,15/12/1963,"R$
                                                            33.763,00",0,84 dias,0 dias,8 dias,78 reuniões,8 reuniões,11 reuniões,"R$ 385.152,20","R$ 17.405,28","R$ 54.422,42","R$ 66.007,20","R$ 43.629,27","R$ 48.597,93","R$ 16.964,63","R$ 42.936,18","R$ 44.081,35","R$ 12.900,31","R$ 38.029,26","R$ 178,37",,"111.515,73","108.469,11","109.947,21","108.778,45","110.497,62","110.780,17","110.780,17","110.780,17","110.297,33","110.780,17",,
SORAYA DE SOUZA MANNATO,F,10/03/1961,"R$
                                                            33.763,00",0,92 dias,0 dias,0 dias,111 reuniões,64 reuniões,0 reuniões,"R$ 289.649,17","R$ 31.353,75","R$ 37.397,79","R$ 57.239,48","R$ 36.607,77","R$ 43.635,09","R$ 15.176,75","R$ 23.098,74","R$ 18.128,98","R$ 8.706,64","R$ 18.304,18",,,"111.501,77","111.501,77","110.559,03","110.173,36","110.920,06","110.221,10","107.709,88","107.907,12","109.518,27","110.809,89",,
BENEDITA SOUZA DA SILVA SAMPAIO,F,26/04/1942,"R$
                                                            33.763,00",0,45 dias,0 dias,47 dias,22 reuniões,15 reuniões,18 reuniões,"R$ 278.916,75","R$ 27.548,63","R$ 36.708,62","R$ 32.332,80","R$ 38.159,47","R$ 42.904,22","R$ 28.769,87","R$ 17.965,43","R$ 15.365,95","R$ 9.555,15","R$ 28.558,54","R$ 1.048,07",,"111.495,90","111.448,24","111.228,98","111.228,98","111.228,98","111.354,55","111.647,54","111.647,54","111.647,54","111.647,54",,
ROSANA DE OLIVEIRA VALLE,F,08/05/1969,"R$
                                                            33.763,00",0,87 dias,2 dias,3 dias,44 reuniões,2 reuniões,2 reuniões,"R$ 338.573,46","R$ 21.183,33","R$ 29.131,46","R$ 53.484,17","R$ 52.840,25","R$ 41.134,85","R$ 34.551,95","R$ 41.195,46","R$ 30.834,90","R$ 20.867,06","R$ 13.125,31","R$ 224,72",,"107.098,26","107.098,26","107.098,26","107.098,26","100.284,96","91.133,79","106.579,32","107.632,04","109.901,08","106.206,39",,
